"uf","year_notif","escolaridade","count","perc"
"Rondônia",2011,"Analfabeto",1973,5.30947255113025
"Rondônia",2011,"1ª a 4ª série incompleta do EF",7148,19.2357373519914
"Rondônia",2011,"4ª série completa do EF",3390,9.1227125941873
"Rondônia",2011,"5ª a 8ª série incompleta do EF",12041,32.4031216361679
"Rondônia",2011,"Ensino fundamental completo",6556,17.6426264800861
"Rondônia",2011,"Ensino médio incompleto",1468,3.95048439181916
"Rondônia",2011,"Ensino médio completo",1733,4.66361679224973
"Rondônia",2011,"Educação superior incompleto",994,2.67491926803014
"Rondônia",2011,"Educação superior completa",184,0.495156081808396
"Rondônia",2011,"Não se aplica",1673,4.5021528525296
"Rondônia",2012,"Analfabeto",1626,5.48213081591369
"Rondônia",2012,"1ª a 4ª série incompleta do EF",4701,15.8496291301416
"Rondônia",2012,"4ª série completa do EF",3540,11.9352663519892
"Rondônia",2012,"5ª a 8ª série incompleta do EF",7654,25.8057990559676
"Rondônia",2012,"Ensino fundamental completo",5218,17.5927174645988
"Rondônia",2012,"Ensino médio incompleto",2029,6.84086311530681
"Rondônia",2012,"Ensino médio completo",2842,9.58192852326366
"Rondônia",2012,"Educação superior incompleto",388,1.30815913688469
"Rondônia",2012,"Educação superior completa",311,1.04855023600809
"Rondônia",2012,"Não se aplica",1351,4.55495616992583
"Rondônia",2013,"Analfabeto",766,4.28603401969561
"Rondônia",2013,"1ª a 4ª série incompleta do EF",2764,15.4655326768129
"Rondônia",2013,"4ª série completa do EF",1820,10.183527305282
"Rondônia",2013,"5ª a 8ª série incompleta do EF",5069,28.3628021486124
"Rondônia",2013,"Ensino fundamental completo",2146,12.0076096687556
"Rondônia",2013,"Ensino médio incompleto",1471,8.23075201432408
"Rondônia",2013,"Ensino médio completo",2491,13.9380035810206
"Rondônia",2013,"Educação superior incompleto",264,1.47717099373321
"Rondônia",2013,"Educação superior completa",309,1.72896150402865
"Rondônia",2013,"Não se aplica",772,4.319606087735
"Rondônia",2014,"Analfabeto",530,4.5144804088586
"Rondônia",2014,"1ª a 4ª série incompleta do EF",1912,16.2862010221465
"Rondônia",2014,"4ª série completa do EF",1309,11.1499148211244
"Rondônia",2014,"5ª a 8ª série incompleta do EF",3218,27.4105621805792
"Rondônia",2014,"Ensino fundamental completo",1316,11.2095400340716
"Rondônia",2014,"Ensino médio incompleto",1056,8.99488926746167
"Rondônia",2014,"Ensino médio completo",1589,13.5349233390119
"Rondônia",2014,"Educação superior incompleto",168,1.43100511073254
"Rondônia",2014,"Educação superior completa",204,1.73764906303237
"Rondônia",2014,"Não se aplica",438,3.73083475298126
"Rondônia",2015,"Analfabeto",364,4.29904334475021
"Rondônia",2015,"1ª a 4ª série incompleta do EF",1498,17.6922168418566
"Rondônia",2015,"4ª série completa do EF",961,11.3499468524861
"Rondônia",2015,"5ª a 8ª série incompleta do EF",2213,26.1367662690445
"Rondônia",2015,"Ensino fundamental completo",796,9.40120467698122
"Rondônia",2015,"Ensino médio incompleto",780,9.21223573875044
"Rondônia",2015,"Ensino médio completo",1144,13.5112790835006
"Rondônia",2015,"Educação superior incompleto",106,1.25191921577891
"Rondônia",2015,"Educação superior completa",132,1.55899374040392
"Rondônia",2015,"Não se aplica",473,5.58639423644738
"Rondônia",2016,"Analfabeto",386,4.5035585112589
"Rondônia",2016,"1ª a 4ª série incompleta do EF",1418,16.5441605413604
"Rondônia",2016,"4ª série completa do EF",1086,12.6706335316766
"Rondônia",2016,"5ª a 8ª série incompleta do EF",2166,25.2712635631782
"Rondônia",2016,"Ensino fundamental completo",949,11.0722202776806
"Rondônia",2016,"Ensino médio incompleto",923,10.7688717769222
"Rondônia",2016,"Ensino médio completo",984,11.4805740287014
"Rondônia",2016,"Educação superior incompleto",102,1.19005950297515
"Rondônia",2016,"Educação superior completa",146,1.70341850425855
"Rondônia",2016,"Não se aplica",411,4.7952397619881
"Rondônia",2017,"Analfabeto",374,4.50548126731719
"Rondônia",2017,"1ª a 4ª série incompleta do EF",1296,15.6125767979761
"Rondônia",2017,"4ª série completa do EF",876,10.5529454282617
"Rondônia",2017,"5ª a 8ª série incompleta do EF",2293,27.6231779303698
"Rondônia",2017,"Ensino fundamental completo",890,10.7215998072521
"Rondônia",2017,"Ensino médio incompleto",802,9.66148656788339
"Rondônia",2017,"Ensino médio completo",1076,12.9622936995543
"Rondônia",2017,"Educação superior incompleto",92,1.1083002047946
"Rondônia",2017,"Educação superior completa",175,2.10817973738104
"Rondônia",2017,"Não se aplica",427,5.14395855920973
"Rondônia",2018,"Analfabeto",394,4.06814661848219
"Rondônia",2018,"1ª a 4ª série incompleta do EF",1591,16.4274651522974
"Rondônia",2018,"4ª série completa do EF",983,10.1497160557563
"Rondônia",2018,"5ª a 8ª série incompleta do EF",2453,25.3278265358802
"Rondônia",2018,"Ensino fundamental completo",1135,11.7191533298916
"Rondônia",2018,"Ensino médio incompleto",1112,11.4816726897264
"Rondônia",2018,"Ensino médio completo",1232,12.7207021166753
"Rondônia",2018,"Educação superior incompleto",106,1.09447599380485
"Rondônia",2018,"Educação superior completa",181,1.86886938564791
"Rondônia",2018,"Não se aplica",498,5.14197212183789
"Rondônia",2019,"Analfabeto",749,6.35391923990499
"Rondônia",2019,"1ª a 4ª série incompleta do EF",1749,14.837122497455
"Rondônia",2019,"4ª série completa do EF",1055,8.9497794367153
"Rondônia",2019,"5ª a 8ª série incompleta do EF",3318,28.1472684085511
"Rondônia",2019,"Ensino fundamental completo",1213,10.2901255514082
"Rondônia",2019,"Ensino médio incompleto",1173,9.95079742110621
"Rondônia",2019,"Ensino médio completo",1621,13.7512724804886
"Rondônia",2019,"Educação superior incompleto",140,1.18764845605701
"Rondônia",2019,"Educação superior completa",253,2.14625042416016
"Rondônia",2019,"Não se aplica",517,4.38581608415338
"Acre",2011,"Analfabeto",2080,8.27333837158426
"Acre",2011,"1ª a 4ª série incompleta do EF",5888,23.4199116980231
"Acre",2011,"4ª série completa do EF",187,0.743804940137624
"Acre",2011,"5ª a 8ª série incompleta do EF",11502,45.7499701682511
"Acre",2011,"Ensino fundamental completo",3036,12.0758919692932
"Acre",2011,"Ensino médio incompleto",88,0.350025854182411
"Acre",2011,"Ensino médio completo",106,0.421622051628813
"Acre",2011,"Educação superior incompleto",538,2.13993079034247
"Acre",2011,"Educação superior completa",16,0.063641064396802
"Acre",2011,"Não se aplica",1700,6.76186309216022
"Acre",2012,"Analfabeto",1770,5.90275461882212
"Acre",2012,"1ª a 4ª série incompleta do EF",6234,20.7897018608684
"Acre",2012,"4ª série completa do EF",3473,11.5820716334289
"Acre",2012,"5ª a 8ª série incompleta do EF",8894,29.6605082371774
"Acre",2012,"Ensino fundamental completo",2763,9.21430000666978
"Acre",2012,"Ensino médio incompleto",1379,4.59881277929701
"Acre",2012,"Ensino médio completo",1761,5.87274061228573
"Acre",2012,"Educação superior incompleto",354,1.18055092376442
"Acre",2012,"Educação superior completa",152,0.506903221503368
"Acre",2012,"Não se aplica",3206,10.6916561061829
"Acre",2013,"Analfabeto",3018,8.25424609577989
"Acre",2013,"1ª a 4ª série incompleta do EF",7205,19.7057134261412
"Acre",2013,"4ª série completa do EF",6847,18.726581516834
"Acre",2013,"5ª a 8ª série incompleta do EF",8243,22.5446489620655
"Acre",2013,"Ensino fundamental completo",2088,5.71069113584772
"Acre",2013,"Ensino médio incompleto",2435,6.65973798648907
"Acre",2013,"Ensino médio completo",2965,8.10929081311709
"Acre",2013,"Educação superior incompleto",258,0.705631375981183
"Acre",2013,"Educação superior completa",309,0.845116647977464
"Acre",2013,"Não se aplica",3195,8.73834203976698
"Acre",2014,"Analfabeto",2247,6.70006261740764
"Acre",2014,"1ª a 4ª série incompleta do EF",7879,23.493454990011
"Acre",2014,"4ª série completa do EF",5509,16.4266332707159
"Acre",2014,"5ª a 8ª série incompleta do EF",6431,19.1758356442139
"Acre",2014,"Ensino fundamental completo",1935,5.76974684676626
"Acre",2014,"Ensino médio incompleto",2905,8.66207472343978
"Acre",2014,"Ensino médio completo",3076,9.17195932850285
"Acre",2014,"Educação superior incompleto",236,0.703700390613352
"Acre",2014,"Educação superior completa",347,1.03467811670692
"Acre",2014,"Não se aplica",2972,8.86185407162239
"Acre",2015,"Analfabeto",1666,5.70938999314599
"Acre",2015,"1ª a 4ª série incompleta do EF",7625,26.1309115832762
"Acre",2015,"4ª série completa do EF",3219,11.0315284441398
"Acre",2015,"5ª a 8ª série incompleta do EF",5681,19.46881425634
"Acre",2015,"Ensino fundamental completo",1558,5.33927347498286
"Acre",2015,"Ensino médio incompleto",2652,9.08841672378341
"Acre",2015,"Ensino médio completo",3226,11.0555174777245
"Acre",2015,"Educação superior incompleto",219,0.750514050719671
"Acre",2015,"Educação superior completa",335,1.14804660726525
"Acre",2015,"Não se aplica",2999,10.2775873886223
"Acre",2016,"Analfabeto",1296,3.37491211166376
"Acre",2016,"1ª a 4ª série incompleta do EF",9697,25.2519465638916
"Acre",2016,"4ª série completa do EF",6601,17.1896565193615
"Acre",2016,"5ª a 8ª série incompleta do EF",5550,14.4527486263379
"Acre",2016,"Ensino fundamental completo",2046,5.32798625035806
"Acre",2016,"Ensino médio incompleto",3034,7.90083591573136
"Acre",2016,"Ensino médio completo",5205,13.5543345225385
"Acre",2016,"Educação superior incompleto",255,0.664045207156064
"Acre",2016,"Educação superior completa",412,1.07288872685607
"Acre",2016,"Não se aplica",4305,11.2106455561053
"Acre",2017,"Analfabeto",1313,3.11735796196491
"Acre",2017,"1ª a 4ª série incompleta do EF",9706,23.0442318193689
"Acre",2017,"4ª série completa do EF",7285,17.296232104276
"Acre",2017,"5ª a 8ª série incompleta do EF",6201,14.722571760963
"Acre",2017,"Ensino fundamental completo",2141,5.08321660058406
"Acre",2017,"Ensino médio incompleto",3427,8.13647047650704
"Acre",2017,"Ensino médio completo",6676,15.8503288302191
"Acre",2017,"Educação superior incompleto",299,0.709893397279138
"Acre",2017,"Educação superior completa",604,1.43403214701204
"Acre",2017,"Não se aplica",4467,10.6056649018258
"Acre",2018,"Analfabeto",990,3.13897079805955
"Acre",2018,"1ª a 4ª série incompleta do EF",7577,24.0242239766638
"Acre",2018,"4ª série completa do EF",2508,7.95205935508418
"Acre",2018,"5ª a 8ª série incompleta do EF",5130,16.2655759535813
"Acre",2018,"Ensino fundamental completo",1932,6.12574907257681
"Acre",2018,"Ensino médio incompleto",3020,9.57544627286851
"Acre",2018,"Ensino médio completo",5611,17.7906718665779
"Acre",2018,"Educação superior incompleto",375,1.18900409017407
"Acre",2018,"Educação superior completa",782,2.47946986270966
"Acre",2018,"Não se aplica",3614,11.4588287517042
"Acre",2019,"Analfabeto",520,3.5383777898748
"Acre",2019,"1ª a 4ª série incompleta do EF",3823,26.0138813282526
"Acre",2019,"4ª série completa do EF",1123,7.64153511159499
"Acre",2019,"5ª a 8ª série incompleta do EF",2370,16.1268372346217
"Acre",2019,"Ensino fundamental completo",869,5.91317365269461
"Acre",2019,"Ensino médio incompleto",1389,9.45155144256941
"Acre",2019,"Ensino médio completo",2456,16.7120304844856
"Acre",2019,"Educação superior incompleto",179,1.21801850843767
"Acre",2019,"Educação superior completa",328,2.23189983669026
"Acre",2019,"Não se aplica",1639,11.1526946107784
"Amazonas",2011,"Analfabeto",7915,11.7141250295998
"Amazonas",2011,"1ª a 4ª série incompleta do EF",27821,41.1748164811745
"Amazonas",2011,"4ª série completa do EF",2085,3.08578025100639
"Amazonas",2011,"5ª a 8ª série incompleta do EF",10184,15.0722235377694
"Amazonas",2011,"Ensino fundamental completo",7241,10.716611413687
"Amazonas",2011,"Ensino médio incompleto",736,1.08927302865262
"Amazonas",2011,"Ensino médio completo",822,1.21655221406583
"Amazonas",2011,"Educação superior incompleto",3639,5.3856855316126
"Amazonas",2011,"Educação superior completa",80,0.11839924224485
"Amazonas",2011,"Não se aplica",7045,10.4265332701871
"Amazonas",2012,"Analfabeto",12297,13.4497807041529
"Amazonas",2012,"1ª a 4ª série incompleta do EF",27842,30.4520447560402
"Amazonas",2012,"4ª série completa do EF",9854,10.7777619792407
"Amazonas",2012,"5ª a 8ª série incompleta do EF",12594,13.774622931455
"Amazonas",2012,"Ensino fundamental completo",6656,7.27996587515996
"Amazonas",2012,"Ensino médio incompleto",4426,4.84091480821184
"Amazonas",2012,"Ensino médio completo",3853,4.21419899594221
"Amazonas",2012,"Educação superior incompleto",1457,1.59358628006431
"Amazonas",2012,"Educação superior completa",401,0.438591694101434
"Amazonas",2012,"Não se aplica",12049,13.1785319756314
"Amazonas",2013,"Analfabeto",12680,14.7381879467659
"Amazonas",2013,"1ª a 4ª série incompleta do EF",23785,27.6457255768001
"Amazonas",2013,"4ª série completa do EF",9574,11.1280292904051
"Amazonas",2013,"5ª a 8ª série incompleta do EF",12231,14.2163073167897
"Amazonas",2013,"Ensino fundamental completo",5102,5.93014470854885
"Amazonas",2013,"Ensino médio incompleto",4940,5.74184924739931
"Amazonas",2013,"Ensino médio completo",4803,5.5826117277852
"Amazonas",2013,"Educação superior incompleto",735,0.854303481141396
"Amazonas",2013,"Educação superior completa",501,0.582321148369849
"Amazonas",2013,"Não se aplica",11684,13.5805195559947
"Amazonas",2014,"Analfabeto",8775,11.6673314718787
"Amazonas",2014,"1ª a 4ª série incompleta do EF",20011,26.6068341975801
"Amazonas",2014,"4ª série completa do EF",8449,11.2338784736072
"Amazonas",2014,"5ª a 8ª série incompleta do EF",11918,15.8462970349688
"Amazonas",2014,"Ensino fundamental completo",4954,6.58689004121792
"Amazonas",2014,"Ensino médio incompleto",4951,6.58290120994549
"Amazonas",2014,"Ensino médio completo",4481,5.95798431059699
"Amazonas",2014,"Educação superior incompleto",605,0.804414306608164
"Amazonas",2014,"Educação superior completa",551,0.732615343704295
"Amazonas",2014,"Não se aplica",10515,13.9808536098923
"Amazonas",2015,"Analfabeto",11829,13.8108581436077
"Amazonas",2015,"1ª a 4ª série incompleta do EF",21904,25.5738470519556
"Amazonas",2015,"4ª série completa do EF",8583,10.0210157618214
"Amazonas",2015,"5ª a 8ª série incompleta do EF",13972,16.3129013426737
"Amazonas",2015,"Ensino fundamental completo",5437,6.34792761237595
"Amazonas",2015,"Ensino médio incompleto",5912,6.90251021599533
"Amazonas",2015,"Ensino médio completo",5493,6.41330998248686
"Amazonas",2015,"Educação superior incompleto",522,0.609457092819615
"Amazonas",2015,"Educação superior completa",549,0.640980735551664
"Amazonas",2015,"Não se aplica",11449,13.3671920607122
"Amazonas",2016,"Analfabeto",6423,10.9609378999642
"Amazonas",2016,"1ª a 4ª série incompleta do EF",12684,21.6454205703169
"Amazonas",2016,"4ª série completa do EF",5499,9.38411918292121
"Amazonas",2016,"5ª a 8ª série incompleta do EF",10208,17.420092493046
"Amazonas",2016,"Ensino fundamental completo",4838,8.25611358555607
"Amazonas",2016,"Ensino médio incompleto",4493,7.66736633730951
"Amazonas",2016,"Ensino médio completo",5107,8.71516578781208
"Amazonas",2016,"Educação superior incompleto",439,0.749159541971706
"Amazonas",2016,"Educação superior completa",444,0.757692110786873
"Amazonas",2016,"Não se aplica",8464,14.4439324903155
"Amazonas",2017,"Analfabeto",9126,9.32309012524774
"Amazonas",2017,"1ª a 4ª série incompleta do EF",22992,23.4885479026623
"Amazonas",2017,"4ª série completa do EF",10071,10.2884988660278
"Amazonas",2017,"5ª a 8ª série incompleta do EF",17239,17.6113029442413
"Amazonas",2017,"Ensino fundamental completo",8056,8.22998181558139
"Amazonas",2017,"Ensino médio incompleto",8025,8.1983123224976
"Amazonas",2017,"Ensino médio completo",8977,9.17087223913532
"Amazonas",2017,"Educação superior incompleto",688,0.70285842714995
"Amazonas",2017,"Educação superior completa",783,0.799910099503504
"Amazonas",2017,"Não se aplica",11929,12.1866252579531
"Amazonas",2018,"Analfabeto",7821,9.09566673644547
"Amazonas",2018,"1ª a 4ª série incompleta do EF",21007,24.4307212802084
"Amazonas",2018,"4ª série completa do EF",7811,9.08403693624543
"Amazonas",2018,"5ª a 8ª série incompleta do EF",14122,16.423603842486
"Amazonas",2018,"Ensino fundamental completo",6647,7.73032819296165
"Amazonas",2018,"Ensino médio incompleto",6733,7.83034447468192
"Amazonas",2018,"Ensino médio completo",8368,9.73181680738725
"Amazonas",2018,"Educação superior incompleto",628,0.730351452562045
"Amazonas",2018,"Educação superior completa",834,0.969925336682716
"Amazonas",2018,"Não se aplica",12015,13.9732049403391
"Amazonas",2019,"Analfabeto",8495,11.2543387827562
"Amazonas",2019,"1ª a 4ª série incompleta do EF",18066,23.9341829840227
"Amazonas",2019,"4ª série completa do EF",5830,7.72369571553483
"Amazonas",2019,"5ª a 8ª série incompleta do EF",12253,16.233009194245
"Amazonas",2019,"Ensino fundamental completo",4924,6.5234095545958
"Amazonas",2019,"Ensino médio incompleto",5758,7.62830873585756
"Amazonas",2019,"Ensino médio completo",7642,10.1242680374129
"Amazonas",2019,"Educação superior incompleto",469,0.621340187064466
"Amazonas",2019,"Educação superior completa",746,0.988315094989534
"Amazonas",2019,"Não se aplica",11299,14.9691317135211
"Roraima",2011,"Analfabeto",8218,61.9198312236287
"Roraima",2011,"1ª a 4ª série incompleta do EF",922,6.94695599758891
"Roraima",2011,"4ª série completa do EF",239,1.80078360458107
"Roraima",2011,"5ª a 8ª série incompleta do EF",1243,9.36558167570826
"Roraima",2011,"Ensino fundamental completo",660,4.97287522603978
"Roraima",2011,"Ensino médio incompleto",132,0.994575045207957
"Roraima",2011,"Ensino médio completo",137,1.03224834237492
"Roraima",2011,"Educação superior incompleto",341,2.56931886678722
"Roraima",2011,"Educação superior completa",7,0.0527426160337553
"Roraima",2011,"Não se aplica",1373,10.3450874020494
"Roraima",2012,"Analfabeto",893,12.7045098876085
"Roraima",2012,"1ª a 4ª série incompleta do EF",925,13.1597666808934
"Roraima",2012,"4ª série completa do EF",459,6.53008962868118
"Roraima",2012,"5ª a 8ª série incompleta do EF",2833,40.3044529805093
"Roraima",2012,"Ensino fundamental completo",451,6.41627543035994
"Roraima",2012,"Ensino médio incompleto",380,5.40617442025893
"Roraima",2012,"Ensino médio completo",438,6.23132735808792
"Roraima",2012,"Educação superior incompleto",65,0.92474036136008
"Roraima",2012,"Educação superior completa",57,0.810926163038839
"Roraima",2012,"Não se aplica",528,7.51173708920188
"Roraima",2013,"Analfabeto",624,10.6794454903303
"Roraima",2013,"1ª a 4ª série incompleta do EF",1672,28.6154372753722
"Roraima",2013,"4ª série completa do EF",429,7.34211877460209
"Roraima",2013,"5ª a 8ª série incompleta do EF",1041,17.8161903131953
"Roraima",2013,"Ensino fundamental completo",479,8.19784357350676
"Roraima",2013,"Ensino médio incompleto",462,7.90689714187917
"Roraima",2013,"Ensino médio completo",574,9.82372069142564
"Roraima",2013,"Educação superior incompleto",42,0.718808831079925
"Roraima",2013,"Educação superior completa",44,0.753037823036112
"Roraima",2013,"Não se aplica",476,8.14650008557248
"Roraima",2014,"Analfabeto",767,11.3026819923372
"Roraima",2014,"1ª a 4ª série incompleta do EF",1273,18.7592101385205
"Roraima",2014,"4ª série completa do EF",481,7.08812260536398
"Roraima",2014,"5ª a 8ª série incompleta do EF",1665,24.5358090185676
"Roraima",2014,"Ensino fundamental completo",513,7.55968169761273
"Roraima",2014,"Ensino médio incompleto",521,7.67757147067492
"Roraima",2014,"Ensino médio completo",746,10.9932213380489
"Roraima",2014,"Educação superior incompleto",102,1.50309460654288
"Roraima",2014,"Educação superior completa",69,1.01679929266136
"Roraima",2014,"Não se aplica",649,9.56380783966991
"Roraima",2015,"Analfabeto",1896,24.057860677579
"Roraima",2015,"1ª a 4ª série incompleta do EF",1060,13.450069788098
"Roraima",2015,"4ª série completa do EF",590,7.48635959903566
"Roraima",2015,"5ª a 8ª série incompleta do EF",1417,17.9799517827687
"Roraima",2015,"Ensino fundamental completo",439,5.57035909148585
"Roraima",2015,"Ensino médio incompleto",603,7.6513132851161
"Roraima",2015,"Ensino médio completo",659,8.36188300977033
"Roraima",2015,"Educação superior incompleto",111,1.40845070422535
"Roraima",2015,"Educação superior completa",74,0.938967136150235
"Roraima",2015,"Não se aplica",1032,13.0947849257708
"Roraima",2016,"Analfabeto",2072,31.1438448820081
"Roraima",2016,"1ª a 4ª série incompleta do EF",939,14.1139335638058
"Roraima",2016,"4ª série completa do EF",359,5.39606192695025
"Roraima",2016,"5ª a 8ª série incompleta do EF",792,11.9044040282579
"Roraima",2016,"Ensino fundamental completo",267,4.01322711558695
"Roraima",2016,"Ensino médio incompleto",528,7.93626935217195
"Roraima",2016,"Ensino médio completo",570,8.56756350518563
"Roraima",2016,"Educação superior incompleto",54,0.811663911017586
"Roraima",2016,"Educação superior completa",60,0.90184879001954
"Roraima",2016,"Não se aplica",1012,15.2111829249962
"Roraima",2017,"Analfabeto",3349,23.5795254523692
"Roraima",2017,"1ª a 4ª série incompleta do EF",2343,16.4965148208125
"Roraima",2017,"4ª série completa do EF",1059,7.45617123142998
"Roraima",2017,"5ª a 8ª série incompleta do EF",2372,16.7006970358375
"Roraima",2017,"Ensino fundamental completo",876,6.16771104696191
"Roraima",2017,"Ensino médio incompleto",1168,8.22361472928254
"Roraima",2017,"Ensino médio completo",1298,9.13891431387735
"Roraima",2017,"Educação superior incompleto",112,0.7885657959586
"Roraima",2017,"Educação superior completa",154,1.08427796944308
"Roraima",2017,"Não se aplica",1472,10.3640076040273
"Roraima",2018,"Analfabeto",5604,23.9876722883315
"Roraima",2018,"1ª a 4ª série incompleta do EF",2925,12.5203321633422
"Roraima",2018,"4ª série completa do EF",1466,6.2751476757127
"Roraima",2018,"5ª a 8ª série incompleta do EF",3715,15.9018919613047
"Roraima",2018,"Ensino fundamental completo",1412,6.04400308192792
"Roraima",2018,"Ensino médio incompleto",2043,8.74497046485746
"Roraima",2018,"Ensino médio completo",2345,10.037668007876
"Roraima",2018,"Educação superior incompleto",171,0.731957880318466
"Roraima",2018,"Educação superior completa",261,1.11719886995976
"Roraima",2018,"Não se aplica",3420,14.6391576063693
"Roraima",2019,"Analfabeto",3584,13.7013533144736
"Roraima",2019,"1ª a 4ª série incompleta do EF",2803,10.7156510436578
"Roraima",2019,"4ª série completa do EF",989,3.78087009710223
"Roraima",2019,"5ª a 8ª série incompleta do EF",3305,12.6347580090221
"Roraima",2019,"Ensino fundamental completo",1749,6.68629100084104
"Roraima",2019,"Ensino médio incompleto",2458,9.39674287025002
"Roraima",2019,"Ensino médio completo",2984,11.4075999694166
"Roraima",2019,"Educação superior incompleto",211,0.806636593011698
"Roraima",2019,"Educação superior completa",327,1.25009557305604
"Roraima",2019,"Não se aplica",7748,29.6200015291689
"Pará",2011,"Analfabeto",11923,8.33881187841826
"Pará",2011,"1ª a 4ª série incompleta do EF",55979,39.1510819543719
"Pará",2011,"4ª série completa do EF",13759,9.62288959449441
"Pará",2011,"5ª a 8ª série incompleta do EF",23733,16.5985928298667
"Pará",2011,"Ensino fundamental completo",6584,4.60477542627743
"Pará",2011,"Ensino médio incompleto",4115,2.8779846414234
"Pará",2011,"Ensino médio completo",2770,1.93730679386216
"Pará",2011,"Educação superior incompleto",1222,0.85465303324894
"Pará",2011,"Educação superior completa",298,0.208417842805388
"Pará",2011,"Não se aplica",22599,15.8054860052314
"Pará",2012,"Analfabeto",6768,6.98754878275414
"Pará",2012,"1ª a 4ª série incompleta do EF",33859,34.9573602593487
"Pará",2012,"4ª série completa do EF",11201,11.5643519378885
